Resource Allocation for Multiple Access Channel With Conferencing Links and Shared Renewable Energy Sources.,https://doi.org/10.1109/JSAC.2015.2391791,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Discrete Rate Scheduling for Packets With Individual Deadlines in Energy Harvesting Systems.,https://doi.org/10.1109/JSAC.2015.2391491,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Delay Optimal Scheduling for Energy Harvesting Based Communications.,https://doi.org/10.1109/JSAC.2015.2391972,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Optimum Policies for an Energy Harvesting Transmitter Under Energy Storage Losses.,https://doi.org/10.1109/JSAC.2015.2391511,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
"Joint Allocation of Resource Blocks, Power, and Energy-Harvesting Relays in Cellular Networks.",https://doi.org/10.1109/JSAC.2015.2391916,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Outage Minimization for a Fading Wireless Link With Energy Harvesting Transmitter and Receiver.,https://doi.org/10.1109/JSAC.2015.2391951,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Optimal Scheduling of Collaborative Sensing in Energy Harvesting Sensor Networks.,https://doi.org/10.1109/JSAC.2015.2391971,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Distortion Minimization in Multi-Sensor Estimation With Energy Harvesting.,https://doi.org/10.1109/JSAC.2015.2391691,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Near Optimal Energy Control and Approximate Capacity of Energy Harvesting Communication.,https://doi.org/10.1109/JSAC.2015.2391611,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Energy Harvesting Receivers: Packet Sampling and Decoding Policies.,https://doi.org/10.1109/JSAC.2015.2391834,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
On the Stability of Random Multiple Access With Stochastic Energy Harvesting.,https://doi.org/10.1109/JSAC.2015.2391731,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Multi-Access Communications With Energy Harvesting: A Multi-Armed Bandit Model and the Optimality of the Myopic Policy.,https://doi.org/10.1109/JSAC.2015.2391852,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
A Methodology for Designing the Control of Energy Harvesting Sensor Nodes.,https://doi.org/10.1109/JSAC.2015.2391812,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Guest Editorial Emerging Technologies.,https://doi.org/10.1109/JSAC.2015.2393711,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Energy Consumption Comparison of Interactive Cloud-Based and Local Applications.,https://doi.org/10.1109/JSAC.2015.2393431,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Energy-Efficiency Oriented Traffic Offloading in Wireless Networks: A Brief Survey and a Learning Approach for Heterogeneous Cellular Networks.,https://doi.org/10.1109/JSAC.2015.2393496,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Characterizing Energy-Delay Tradeoff in Hyper-Cellular Networks With Base Station Sleeping Control.,https://doi.org/10.1109/JSAC.2015.2393494,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Efficient Working and Shirking in Information Sharing Networks.,https://doi.org/10.1109/JSAC.2015.2393432,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Communication Theoretic Data Analytics.,https://doi.org/10.1109/JSAC.2015.2393471,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Defining the Stack for Service Delivery Models and Interoperability in the Internet of Things: A Practical Case With OpenIoT-VDK.,https://doi.org/10.1109/JSAC.2015.2393491,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Toward a Lightweight Authentication and Authorization Framework for Smart Objects.,https://doi.org/10.1109/JSAC.2015.2393436,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Innovation and Standardization: Oxymoron or Pleonasm?,https://doi.org/10.1109/JSAC.2015.2393473,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Metacognitive Radio Engine Design and Standardization.,https://doi.org/10.1109/JSAC.2015.2393452,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Enabling Spectrum Sharing via Spectrum Consumption Models.,https://doi.org/10.1109/JSAC.2015.2393451,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Spatial Sensing and Cognitive Radio Communication in the Presence of a K-User Interference Primary Network.,https://doi.org/10.1109/JSAC.2014.2361073,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Efficient Energy Detection Methods for Spectrum Sensing Under Non-Flat Spectral Characteristics.,https://doi.org/10.1109/JSAC.2014.2361074,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Intelligent Cooperative Spectrum Sensing via Hierarchical Dirichlet Process in Cognitive Radio Networks.,https://doi.org/10.1109/JSAC.2014.2361075,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Correlation-Based Spectrum Sensing With Oversampling in Cognitive Radio.,https://doi.org/10.1109/JSAC.2014.2361076,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Analysis and Optimization of Random Sensing Order in Cognitive Radio Networks.,https://doi.org/10.1109/JSAC.2014.2361077,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
Full-Duplex Spectrum-Sensing and MAC-Protocol for Multichannel Nontime-Slotted Cognitive Radio Networks.,https://doi.org/10.1109/JSAC.2014.2361078,2015,A,IEEE Journal of Selected Areas in Communications (JSAC)
